Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project url,Reporter,Creator,Created,Updated,Last Viewed,Votes
Sourcetree repository tab width automatically adjusted with repository name is bad with short names,SRCTREEWIN-14221,1949800,Bug,Short Term Backlog,SRCTREEWIN,Sourcetree for Windows,software,rgomis,https://www.sourcetreeapp.com,b80d91f3d253,b80d91f3d253,29/May/2023 6:43 AM,29/May/2023 2:06 PM,31/May/2023 7:54 AM,0
Stashes don't show untracked files when clicking on them,SRCTREEWIN-14215,1946072,Bug,Short Term Backlog,SRCTREEWIN,Sourcetree for Windows,software,rgomis,https://www.sourcetreeapp.com,9fe2303fdef9,9fe2303fdef9,25/May/2023 7:36 PM,30/May/2023 4:21 AM,31/May/2023 7:54 AM,0
Beyond compare not starting,SRCTREEWIN-14211,1945187,Bug,Gathering Impact,SRCTREEWIN,Sourcetree for Windows,software,rgomis,https://www.sourcetreeapp.com,6f37d3903719,6f37d3903719,23/May/2023 7:26 AM,29/May/2023 6:48 AM,31/May/2023 7:54 AM,0
Displaying all changes between hash1 and hash2 doesn't work,SRCTREEWIN-14210,1945171,Bug,Closed,SRCTREEWIN,Sourcetree for Windows,software,rgomis,https://www.sourcetreeapp.com,5a5cb19c6499,5a5cb19c6499,22/May/2023 8:49 PM,30/May/2023 10:04 AM,31/May/2023 7:54 AM,0
Displaying all changes between hash1 and hash2 doesn't work,SRCTREEWIN-14209,1945161,Bug,Closed,SRCTREEWIN,Sourcetree for Windows,software,rgomis,https://www.sourcetreeapp.com,f49b2067e2b3,f49b2067e2b3,22/May/2023 1:31 PM,30/May/2023 9:56 AM,31/May/2023 7:54 AM,0
Patch created from SourceTree (Actions/Create Patch) is in wrong order,SRCTREEWIN-14208,1945080,Bug,Gathering Impact,SRCTREEWIN,Sourcetree for Windows,software,rgomis,https://www.sourcetreeapp.com,3629a8574036,3629a8574036,22/May/2023 9:44 AM,30/May/2023 12:58 PM,31/May/2023 7:54 AM,0
Allow external diff on a rename with changes,SRCTREEWIN-14207,1944111,Bug,Needs Triage,SRCTREEWIN,Sourcetree for Windows,software,rgomis,https://www.sourcetreeapp.com,3a9236c349f9,3a9236c349f9,12/May/2023 5:21 PM,12/May/2023 5:21 PM,31/May/2023 7:54 AM,0
Submodule with long path doesn't open,SRCTREEWIN-14206,1943978,Bug,Needs Triage,SRCTREEWIN,Sourcetree for Windows,software,rgomis,https://www.sourcetreeapp.com,1bc704ea3259,1bc704ea3259,12/May/2023 4:58 PM,12/May/2023 4:58 PM,31/May/2023 7:54 AM,0
Wrong installation size reported in Control Panel?,SRCTREEWIN-14201,1943796,Bug,Gathering Impact,SRCTREEWIN,Sourcetree for Windows,software,rgomis,https://www.sourcetreeapp.com,9630500507bd,9630500507bd,11/May/2023 6:49 AM,12/May/2023 5:16 AM,31/May/2023 7:54 AM,0
No Start Menu shortcut created by Sourcetree Enterprise installation,SRCTREEWIN-14200,1943795,Bug,Short Term Backlog,SRCTREEWIN,Sourcetree for Windows,software,rgomis,https://www.sourcetreeapp.com,9630500507bd,9630500507bd,11/May/2023 6:33 AM,12/May/2023 5:44 AM,31/May/2023 7:54 AM,0
